<BEGIN>;;;;;;;;;;;;;;
<Hydro reservoirs>;;;;;;;;;;;;;;
ID;Name;Minimum reservoir volume (hm3);Maximum reservoir volume (hm3);Name of downriver reservoir;Water travelling time (h);Run-of-river plant? TRUE or FALSE;Minimum forebay level (m);Maximum forebay level (m);Maximum spillage (m3/s);Basin;Influence of spillage on the HPF? Yes or No;Downriver plant of bypass discharge;Maximum bypass discharge (m3/s);Water travel time in bypass (h)
57;MAUÁ;1473;2137;CAPIVARA;13;TRUE;626;635;7191.8;Paraná;Yes;0;0;0
71;SANTA CLARA - PR;169;431;FUNDÃO;2;TRUE;787.5;805;3000;Iguaçu;Yes;0;0;0
72;FUNDÃO;23.4;30.6;JORDÃO;2;TRUE;705.5;705.5;4000;Iguaçu;Yes;0;0;0
73;JORDÃO;84.9;110;SLT.SANTIAGO;1;TRUE;602;610;5000;Iguaçu;No;SEGREDO;70000;0
83;BAIXO IGUAÇU;187.2;211.92;0;0;TRUE;258;259;53585;Iguaçu;Yes;0;0;0
278;MANSO;4386;7337;0;0;FALSE;278;287;2990;Manso;Yes;0;0;0
304;ITIQUIRA I;4.3;5;ITIQUIRA II;0;TRUE;412;412;1500;Itiquira;No;0;0;0
305;ITIQUIRA II;0.3;1;0;0;TRUE;320;320;2004.82;Itiquira;Yes;0;0;0
281;PONTE PEDRA;67.5;105.9;0;0;TRUE;396;396;5000;Correntes;No;0;0;0
195;JAURU;16.17;17.15;0;0;TRUE;354.7;355;5000;Jauru;Yes;0;0;0
93;PASSO FUNDO;184;1588.61;MONJOLINHO;1;FALSE;584;598;1944;Uruguai;No;0;0;0
94;MONJOLINHO;139.573;150.553;FOZ DO CHAPECÓ;2;TRUE;328.5;328.5;6755;Uruguai;Yes;0;0;0
89;GARIBALDI;244.08;296;CAMPOS NOVOS;0;TRUE;702.5;705;10000;Uruguai;Yes;0;0;0
95;QUEBRA-QUEIXO;111.12;136.63;FOZ DO CHAPECÓ;12;TRUE;544;549;4999.5;Uruguai;Yes;0;0;0
101;SÃO JOSÉ;165.341;187.88;PASSO S. JOÃO;2;TRUE;154.67;154.67;5000;Ijuí;Yes;0;0;0
102;PASSO S. JOÃO;83.9;102.4;0;0;TRUE;128.35;128.35;11570;Ijuí;Yes;0;0;0
103;FOZ DO CHAPECÓ;1426.81;1501.8;0;0;TRUE;264;265;62190;Uruguai;No;0;0;0
110;ERNESTINA;21;258.5;PASSO REAL;1;TRUE;482.5;489.5;1300.7;Jacuí;No;0;0;0
111;PASSO REAL;1001;3357;JACUÍ;1;FALSE;300;327;4674;Jacuí;No;0;0;0
112;JACUÍ;4.3;28.7;ITAÚBA;1;FALSE;279.89;279.89;5032;Jacuí;Yes;0;0;0
113;ITAÚBA;462.2;620.3;DONA FRANCISCA;1;FALSE;184;184;7236;Jacuí;Yes;0;0;0
114;DONA FRANCISCA;261.7;324.5;0;0;FALSE;94.5;94.5;10614;Jacuí;Yes;0;0;0
97;CASTRO ALVES;87.16;91.766;MONTE CLARO;1;TRUE;239;240;5000;Taquari-Antas;No;0;0;0
98;MONTE CLARO;9.89;11.35;14 DE JULHO;1;TRUE;147;148;14000;Taquari-Antas;No;0;0;0
99;14 DE JULHO;50.47;55.18;0;0;TRUE;103;104;17956;Taquari-Antas;No;0;0;0
215;SALTO PILÃO;0.1189;0.1884;0;0;TRUE;318;319;7612;Itajaí;Yes;0;0;0
115;CAPIVARI-CACHOEIRA;23;179;0;0;TRUE;822;845;1014;Capivari;No;0;0;0
217;ROSAL;10;17;0;0;TRUE;555;555;1000;Itabapoana;No;0;0;0
192;GUILMAN-AMORIM;0.4547;2.7281;SÁ CARVALHO;4;TRUE;495;495;1500;Piracicaba;No;0;0;0
193;SÁ CARVALHO;1.73;1.8;BAGUARI;36;TRUE;369.5;369.5;1840;Piracicaba;Yes;0;0;0
139;CANDONGA;19.4;54.44;BAGUARI;48;TRUE;327.5;327.5;3000;Piracicaba;Yes;0;0;0
141;BAGUARI;31.42;38.07;AIMORÉS;12;TRUE;184.5;185;8000;Piracicaba;Yes;0;0;0
143;AIMORÉS;173.38;184.65;MASCARENHAS;1;TRUE;89;90;12000;Piracicaba;No;0;0;0
144;MASCARENHAS;17.812;24.43;0;0;TRUE;60.7;60.7;14500;Piracicaba;Yes;0;0;0
134;SALTO GRANDE;78;78;PORTO ESTRELA;2;TRUE;356;356;1500;Piracicaba;No;0;0;0
135;PORTO ESTRELA;55.92;89.04;BAGUARI;24;TRUE;246;255;4000;Piracicaba;Yes;0;0;0
283;SANTA CLARA - MG;146;146;0;0;TRUE;86;86;15000;Mucuri;No;0;0;0
148;IRAPÉ;2271.15;5963.92;ITAPEBI;120;FALSE;470.8;510;7503;Jequitinhonha;Yes;0;0;0
154;ITAPEBI;1445.27;1633.56;0;0;TRUE;110;110;20915;Jequitinhonha;Yes;0;0;0
189;PEDRA DO CAVALO;106;114.5;0;0;TRUE;106;114.5;12000;Paraguaçu;Yes;0;0;0
155;RETIRO BAIXO;200.72;241.59;TRES MARIAS;12;TRUE;614;616;3486;São Francisco;Yes;0;0;0
162;QUEIMADO;95.25;557;SOBRADINHO;360;TRUE;811;829;1959;São Francisco;No;0;0;0
190;BOA ESPERANÇA;3173;5085;0;0;FALSE;155.13;161.13;10086;Parnaíba;Yes;0;0;0
252;CANA BRAVA;1906.13;2300;SÃO SALVADOR;3;TRUE;330;333;2000;Tocantins;No;0;0;0
253;SÃO SALVADOR;892.88;952.01;PEIXE ANGICAL;3;TRUE;287;287;4000;Tocantins;Yes;0;0;0
257;PEIXE ANGICAL;2223.73;2750.55;LAJEADO;40;TRUE;261;263;5000;Tocantins;Yes;0;0;0
310;DARDANELOS;0.12;0.12;0;0;TRUE;213.5;213.5;5000;Comemoração;Yes;0;0;0
276;RONDON II;192.17;478.29;0;0;TRUE;264;268;10000;Aripuanã;No;0;0;0
196;GUAPORÉ;20.58;22.63;0;0;TRUE;479.2;479.2;10000;Guaporé;Yes;0;0;0
279;SAMUEL;943.23;3493.44;0;0;FALSE;80;87.4;10000;Jamari;Yes;0;0;0
277;BALBINA;9711.9;20006.22;0;0;FALSE;46;51;5800;Uatumã;Yes;0;0;0
286;SANTO ANTÔNIO JARI;104.61;133.39;0;0;TRUE;29.1;30;9593;Jari;Yes;0;0;0
227;SINOP;1012.4;3071.2;COLÍDER;6;FALSE;292;302;3000;Teles Pires;Yes;0;0;0
228;COLÍDER;1427.48;1525;TELES PIRES;108;TRUE;272;272;4000;Teles Pires;Yes;0;0;0
230;SÃO MANOEL;490.27;570.08;0;0;TRUE;161;161;5000;Teles Pires;Yes;0;0;0
272;CURUÁ-UNA;130.6;602;0;0;TRUE;25.22;32.22;5000;Coruá-Una;Yes;0;0;0
204;CACHOEIRA CALDEIRÃO;230.56;230.56;COARACY NUNES;2;TRUE;58.3;58.3;5000;Araguari;Yes;0;0;0
280;COARACY NUNES;24.57;138.8;FERREIRA GOMES;2;TRUE;35.14;42.14;7000;Araguari;No;0;0;0
284;FERREIRA GOMES;120.4;137.31;0;0;TRUE;21.3;21.3;7551;Araguari;No;0;0;0
184;FONTES BC;36;38;PEREIRA PASSOS;0;TRUE;399;399;5000;Paraíba do Sul;No;0;0;0
</Hydro reservoirs>;;;;;;;;;;;;;;
</END>;;;;;;;;;;;;;;
