<BEGIN>;;;;;;;;;;;;
<Hydro turbines>;;;;;;;;;;;;
Name;Hydro reservoir ID;Hydro reservoir name;Group ID;Group name;Unit ID;Bus ID;Minimum generation (MW);Maximum generation (MW);Minimum turbine discharge (m3/s);Maximum turbine discharge (m3/s);Turbine type;Comments
G44-JIRAU;285;JIRAU;1;MD;44;7061;23;75;230;538;Bulbo;The group has been changed after network reduction
G45-JIRAU;285;JIRAU;1;MD;45;7061;23;75;230;538;Bulbo;The group has been changed after network reduction
G46-JIRAU;285;JIRAU;1;MD;46;7061;23;75;230;538;Bulbo;The group has been changed after network reduction
G47-JIRAU;285;JIRAU;1;MD;47;7061;23;75;230;538;Bulbo;The group has been changed after network reduction
G48-JIRAU;285;JIRAU;1;MD;48;7061;23;75;230;538;Bulbo;The group has been changed after network reduction
G49-JIRAU;285;JIRAU;1;MD;49;7061;23;75;230;538;Bulbo;The group has been changed after network reduction
G50-JIRAU;285;JIRAU;1;MD;50;7061;23;75;230;538;Bulbo;The group has been changed after network reduction
G1-SOBRADINHO;169;SOBRADINHO;1;Group 1;1;6294;46;175;356.5;713;Kaplan;
G2-SOBRADINHO;169;SOBRADINHO;1;Group 1;2;6294;46;175;356.5;713;Kaplan;
G3-SOBRADINHO;169;SOBRADINHO;1;Group 1;3;6294;46;175;356.5;713;Kaplan;
G4-SOBRADINHO;169;SOBRADINHO;1;Group 1;4;6294;46;175;356.5;713;Kaplan;
G5-SOBRADINHO;169;SOBRADINHO;1;Group 1;5;6294;46;175;356.5;713;Kaplan;
G6-SOBRADINHO;169;SOBRADINHO;1;Group 1;6;6294;46;175;356.5;713;Kaplan;
G1-P. PRIMAVERA;46;P. PRIMAVERA;1;Group 1;1;510;90;110;318;636;Kaplan;
G2-P. PRIMAVERA;46;P. PRIMAVERA;2;Group 2;2;510;30;110;318;636;Kaplan;
G3-P. PRIMAVERA;46;P. PRIMAVERA;2;Group 2;3;510;30;110;318;636;Kaplan;
G4-P. PRIMAVERA;46;P. PRIMAVERA;2;Group 2;4;510;30;110;318;636;Kaplan;
G5-P. PRIMAVERA;46;P. PRIMAVERA;2;Group 2;5;510;30;110;318;636;Kaplan;
G6-P. PRIMAVERA;46;P. PRIMAVERA;2;Group 2;6;510;30;110;318;636;Kaplan;
G7-P. PRIMAVERA;46;P. PRIMAVERA;2;Group 2;7;510;30;110;318;636;Kaplan;
G8-P. PRIMAVERA;46;P. PRIMAVERA;2;Group 2;8;510;30;110;318;636;Kaplan;
G9-P. PRIMAVERA;46;P. PRIMAVERA;2;Group 2;9;510;30;110;318;636;Kaplan;
G10-P. PRIMAVERA;46;P. PRIMAVERA;2;Group 2;10;510;30;110;318;636;Kaplan;
G11-P. PRIMAVERA;46;P. PRIMAVERA;2;Group 2;11;510;30;110;318;636;Kaplan;
G12-P. PRIMAVERA;46;P. PRIMAVERA;2;Group 2;12;510;30;110;318;636;Kaplan;
G13-P. PRIMAVERA;46;P. PRIMAVERA;2;Group 2;13;510;30;110;318;636;Kaplan;
G14-P. PRIMAVERA;46;P. PRIMAVERA;2;Group 2;14;510;30;110;318;636;Kaplan;
G1-JUPIA;45;JUPIA;1;Group 1;1;503;60;110.8;298;596;Kaplan;
G2-JUPIA;45;JUPIA;2;Group 2;2;502;40;110.8;298;596;Kaplan;
G3-JUPIA;45;JUPIA;1;Group 1;3;503;60;110.8;298;596;Kaplan;
G4-JUPIA;45;JUPIA;3;Group 3;4;502;25;110.8;298;596;Kaplan;
G5-JUPIA;45;JUPIA;3;Group 3;5;502;25;110.8;298;596;Kaplan;
G6-JUPIA;45;JUPIA;3;Group 3;6;502;25;110.8;298;596;Kaplan;
G7-JUPIA;45;JUPIA;3;Group 3;7;502;25;110.8;298;596;Kaplan;
G8-JUPIA;45;JUPIA;3;Group 3;8;502;25;110.8;298;596;Kaplan;
G9-JUPIA;45;JUPIA;3;Group 3;9;502;25;110.8;298;596;Kaplan;
G10-JUPIA;45;JUPIA;4;Group 4;10;502;50;110.8;298;596;Kaplan;
